Modules,words,mean_cn,sentence,sentence_tra
Module4,staple,n.订书钉，主食，主要产品v.用订书钉订adj.主要的，基本的，标准的,Please staple the two sheets of paper together.,请把这两张纸订在一起。
Module4,sterile,adj.不孕的，无细菌的，贫瘠的,Wash your hands regularly to keep your hands sterile. ,为保持手没有病菌，请经常洗手。
Module4,bring up,养育；呕出,A mother should bring up her child with love and care.,母亲应该用爱心和关怀来养育她的孩子。
Module4,straight,adj. 直的；正直的adv. 直接地；不断地；立即 ,This road is very straight. ,这条路很直。
Module4,quality,n. 特性;  品性;  质量;  adj. 优质的;  ,I'm astonished by the quality of my pants! ,我被我裤子的质量震惊了！
Module4,breakthrough,n.突破，突破性进展，重要的新发现,"After working through a lot of problems, he finally had a breakthrough to succeed.",解决了许多问题之后，他终于有了突破性进展。
Module4,replace,v.代替，更换；把...放回原处,Let me replace that old light with a new one.,让我换支新灯管。
Module4,diagnose,v.诊断(疾病)，对(病人)下诊断结论；判断（问题的原因）,The doctor diagnoses a child with a cough.,医生为一个咳嗽的孩子诊断。
Module4,rocket,n.火箭,The red rocket is flying over the clouds.,这枚红色的火箭冲上云端。
Module4,cosmology,n.宇宙论,In cosmology we study how the universe came to be.,在宇宙学里，我们研究宇宙的起源。
Module4,original,adj.最初的；新颖的,"He was a very original thinker, always coming up with new ideas.",他是个很有原创性的思想者，总是有很多新点子。
Module4,earn one's living,谋生,She earns her living by selling flowers.,她靠卖花来挣钱谋生。
Module4,publish,v.出版，刊印；公布，发布,They'll publish my book both electronically and in print.,他们会出版我的书，电子版和印刷版都有。
Module4,explode,v.(使)爆炸；爆发，发怒,The fireworks exploded in the sky.,烟花在空中爆炸。
Module4,explosion,n.爆炸；爆发；激增,The fireworks explosions were deafening.,烟火爆炸（的声音）震耳欲聋。
Module4,educate,v.教育，培养，训练,My children were all educated in public schools.,我的孩子们都在公立学校接受教育。
Module4,come to power,掌权,Hitler came to power in Germany in 1931.,希特勒在1931年执掌了德国政权。
Module4,cash crop,phr. 经济作物,Corn is an important cash crop for American farmers.,玉米对于美国农民来说是非常重要的经济作物。
Module4,production,n.生产，产量，生产过程；上演的戏,Car production is a difficult and complicated process.,汽车生产是个困难复杂的过程。
Module4,support,,My father gives me a lot of love and support. ,我的父亲给予我很多爱与支持。
Module4,relativity,n.相关性；相对性,Einstein introduced the theory of relativity,爱因斯坦提出了相对论。
Module4,escape,,I enjoy stories about how prisoners escape from prison.,我喜欢关于越狱的故事。
Module4,graduate,"n. 大学毕业生, 学位获得者;  vi. 毕业;  渐变, 渐渐变为;  取得资格;  adj. 毕业的;  研究生的;  vt. 授予…学位;  ",We finally graduated from the college.,我们终于大学毕业了。
Module4,export,v.输出，出口n.输出品，出口,"With sea and air travel, countries can export products anywhere they want.","有了航空和航海运输,各国可以出口商品到任何想去的地方。"
Module4,quantity,n.量，总数，大量,The balls are higher in quantity but much smaller.,那些球数量占优，但是体积小多了。
Module4,best-seller,n. 畅销书,This item is a best-seller! Everybody wants to buy one!,这本是畅销书，大家都想买。
Module4,species,n. 种类; 人类;  adj. 物种上的;  ,There are tens of thousands of different species of birds.,（全球）有成千上万种各不相同的鸟。
Module4,personal,adj.个人的，私人的,She hired a personal trainer for better results.,为了更好的训练效果，她雇了一个私人教练。
Module4,as a result of,作为...的结果,He died as a result of smoking too much.,他由于吸烟过多而死。
Module4,millennium,n.千禧年；太平盛世,The year 2000 was the beginning of a new millennium.,2000年是一个新千年的开始。
Module4,agricultural,adj. 农业的; 农艺的;  ,The agricultural industry is so advanced that there should be enough food for everyone.,农业产业相当发达，足以供应每个人食物了。
Module4,biochemistry,n.生物化学 ,He used his skills in biochemistry to create a new kind of super-vegetable.,他用他在生物化学方面的技能来创造一种新的超级蔬菜。
Module4,partly,adv.部份地，不完全地,Expect today to be partly sunny and partly cloudy.,预计今天将会晴转多云。
Module4,agriculture,n.农业,We depend on agriculture to give us food.,我们依靠农业给我们提供食物。
Module4,zoology,n.动物学；动物区系,The zoology of this part of Africa is endlessly interesting.,动物学在非洲这一板块有无限乐趣。
Module4,yield,n.产量，收益v.承认，出产，屈服,The fields yielded many carrots for harvest this year.,这块田今年产出了很多胡萝卜。
Module4,career,n.职业，事业，生涯，经历,She has built her career as a businesswoman.,她以一个女商人的身份开始了职业生涯。
Module4,biology,n.生物学；生物；生命周期,Biology is the study of life.,生物学是对生命的研究。
Module4,hybrid,n.杂种，混血人adj.混合的，杂种的,This hybrid's ancestors must have a strange history!,这个混种的祖先们一定有一段奇怪的历史。
Module3,applause,n.鼓掌欢迎，欢呼,My talk was so popular that there was applause from everyone.,我的讲话太受欢迎了，每个人都鼓掌了。
Module3,classical,n. 古典音乐;  adj. 经典的;  古典的;  传统的;  ,I love classical music.,我热爱古典音乐。
Module3,invitation,n.请柬，邀请，招待，,I could tell the party was going to be fun from the look of the invitation.,从邀请函看，我敢说这个派对肯定很有意思。
Module3,handclap,n.拍手,She gave me a handclap for my good performance.,她为我鼓掌以表彰我优秀的表现。
Module3,involve,v.牵涉；卷入；涉及； 包含,All parts of the machine are involved with each other.,机器的所有部分都环环相扣。
Module3,wipe,v.擦，揩；擦去,Please wipe the floors. They are still wet. ,地板还是湿的，请擦一下吧。
Module3,social,adj.社会的；交际的，社交的,Humans are social animals who need the support of others.,人类是需要别人支持的社会性动物。
Module3,slap,v. 掌击，拍打，掴，拍；  n. 侮辱，掴，拍击声,"""You idiot!"" she yelled as she slapped him.",“你个蠢货！” 她一边吼一边给了他一巴掌。
Module3,youth,n.青春；青年们；青年,I don't like the music the youth listen to these days.,我不喜欢现在这些青年人听的音乐。
Module3,up and down,"phr. 上下, 来回;",Are you riding the elevator up and down for fun?,你在来回坐电梯找乐子吗？
Module3,judgement,n.审判，判决；判断力，识别力，看法，意见,"In the court's judgement, I was guilty.",依法院判决，我是有罪的。
Module3,aggressive,adj.好斗的，进取的，侵犯的,She is so aggressive; she's always starting fights.,她非常好斗，她总是挑起打架。
Module3,by accident,phr. 意外地; 偶然,I stepped on a banana peel by accident and fell down.,我不小心踩上了香蕉皮滑倒了。
Module3,vary,v.改变，变化；使多样化,These dogs vary in appearance.,不同品种狗的样子可能会差别非常大。
Module3,formal,adj.正式的，礼仪上的,Please wear formal clothes to the event--don't embarrass me again!,请穿正装来参加宴会，别再让我难堪了！
Module3,performer,n. 表演者,"The performers in the play were wonderful, simply wonderful!",戏中的表演者们太棒了，就是棒！
Module3,host,n.东道主，主持人；（古）军队；大量v. 主持，主办,"The hosts cook food for us, so we brought some wine for them.",主人为我们做了饭菜，所以我们为他们带了一些红酒。
Module3,bow,,She looks pretty with that bow in her hair.,她头上戴着蝴蝶结，看起来可真好看。
Module3,salaam,n.（穆斯林的）额手礼（用右手抚额鞠躬的礼节）,"Salaam! Peace be with you, my son!",
Module3,request,n. 要求; 请求;  vt. 要求; 请求;  ,"She made a simple request: ""Help me!""",她只有一个简单的请求—救命！
Module3,communication,"n. 传达;  交际, 通讯;  信息;  ",Cell phones make communication easier than ever.,手机使得通讯比过去更容易。
Module3,toast,,I eat toast for breakfast every day.,我每天早餐吃烤面包。
Module3,religion,n. 宗教;  宗教信仰;  宗教生活;  虔诚的追求;  ,My religion taught me how to behave myself.,我的宗教教会我怎样规范自己的行为举止。
Module3,traditionally,adv.传统地,Traditionally we get red envelopes during Chinese New Year.,传统上我们在春节时会得到红包。
Module3,threatening,adj.恐吓的；具有威胁的,Threatening defenceless women was what he did for a living.,恐吓毫无防备力的女人就是他的谋生方式。
Module3,performance,n.表演；表现；执行；性能,I loved the performance--my favorite part was their costumes.,我喜欢这场表演，我最爱的部分是他们的戏服。
Module3,gesture,"n. 手势, 表情;  姿态;  vi. 做手势;  vt. 用手势表达;  ","Their ""thumbs up"" gesture meant that they liked it.",竖起大拇指的手势表示他们喜欢这东西。
Module3,slightly,adv. 些微地，轻微地，纤细地 ,The door was open just slightly so that a little bit of sunlight came in.,门被微微地打开了一些，好让一点儿阳光照进来。
Module3,hold up,"v.举起,；支撑； 继续； 阻挡",How many people does it take to hold up the giant green ball?,需要多少人才能举起这个巨大的绿色球体？
Module3,deal,v.处理；给予；做买卖，经营　　n.交易；待遇；成交；协议,"So we agree, you'll buy my house? Do we have a deal? good.",那么你确定要买我的房子？我们说好了吧，很好！
Module3,favour,n/v.帮助，好感，赞成，偏爱,The white man did the red man a favour and helped him up.,这个白色的男人帮助这个红色的男人爬上来。
Module3,bend,,"First bend to the right, then bend to the left.",先向右弯曲，再向左弯曲。
Module3,stare,v.盯，凝视,I don't know why that strange man is staring at me.,我不知道为什么那个陌生人一直盯着我。
Module3,wrist,n. 腕部,All this typing gives me wrist pains.,一直打字让我手腕疼。
Module3,muslim,n.穆斯林，穆罕默德信徒 adj.穆斯林的,Muslim women are required to cover their body and hair with a special dress.,穆斯林妇女需要用特殊的衣服遮住身体和头发。
Module3,unconscious,"adj.不省人事的; 无意识的;  失去知觉的, 神志不清的;  ",We found him unconscious on the floor.,我们发现他不省人事地倒在地上。
Module3,palm,n.手掌，手心,Some people believe the shape of your palms will tell your future.,有些人相信手掌的形状可以预测未来。
Module3,Hindu,adj. 印度的；印度教的n. 印度人；印度教教徒,"Most Indian people worship the Hindu gods, including the blue god Krishna.",大部分印度人崇拜印度教诸神，包括蓝色的Krishna神。
Module3,on guard,（保持）警惕,I don't have to worry about my things because my dog is on guard.,我不用担心我的东西，因为有我的狗在站岗。
Module3,equality,"n: 同等, 平等, 等式;  ",A good legal system ensures equality of rights for all.,一个好的司法系统确保了所有人权利的平等。
Module3,switch on,打开（灯、无线电等）,Your computer doesn't work? Did you switch it on?,你的电脑不能运行？你开电源了吗？
Module3,give away,分发；出卖；泄漏；赠送,His job is to give away samples of our products for people to try.,他的工作就是分发我们的产品样品给人们体验。
Module3,spread,v./n.伸开，伸展；散布，传播，摊开,Spread the butter evenly to all parts of the bread.,在面包的每个部分都均匀地涂抹黄油。
Module3,blank,n. 空白;  空地;  adj. (纸等)空白的;  ,Your notepad is blank; write some notes about the meeting!,你的笔记本是空白的，写点会议记录吧！
Module3,communicate,v.通讯；传达；沟通，交流思想,"With the Internet, I can communicate with my children whenever I want.",通过互联网，我能在任何时候跟我的孩子们聊天。
Module3,conscious,"adj. 自觉的, 意识到的;  神志清醒的;  有意的;  ",I'm awake and conscious at 5 a.m. but I wish I wasn't.,我在早上5点就完全清醒了，但是我多希望我没有。
Module3,infectious,adj.传染的；感染性的，易传播的,Mosquitos can carry infectious diseases. ,蚊子身上带有传染性疾病。
Module3,sip,v.啜饮,Sip the coffee slowly because it is really hot. ,小口地喝咖啡，它很烫。
Module3,weapon,n. 武器，兵器,We used many weapons to defeat the enemy. ,我们使用了很多武器来打败敌人。
Module3,prolong,v.延长，拉长，拖延,The referee had to prolong the game.,裁判不得不延长比赛。
Module3,eyebrow,n.眉毛 ,She put some shadow onto her eyebrow to make herself look more mysterious. ,她在眉毛上画了一些阴影，让自己看起来更神秘。
Module3,forehead,n.前额，前部,I hope I don't have worry lines on my forehead.,我希望前额别长皱纹。
Module3,make  a deal,达成协议；做成交易,I'm glad we could make a deal. ,很高兴我们能成交。
Module3,lip,n.嘴唇,Her lips are the most beautiful part of her face. ,她的嘴唇是她脸上最漂亮的部分。
Module3,RSVP,（请贴等用语）请答复,I sent in my RSVP to tell them that I'll be coming to the party.,我发送了邀请回复，告诉他们我会参加那个派对。
Module3,mind reader,n.（自称或被认为）能看透别人心思的人,Is she a mind reader or just tricky and clever?,她到底是真的读心人还是只是狡猾的骗子？
Module3,hug,v.紧抱；拥抱n.拥抱,The happy couple hugs in front of their new house.,这对开心的夫妇相拥在他们的新房子前。
Module3,ankle,n.脚踝,An injured ankle should be wrapped in a bandage.,受伤的脚踝应该用绷带包扎好。
Module3,rude,"adj. 粗鲁的, 无礼貌的;  猛烈的, 狂暴的;  ",Your salesmen are very rude. They yelled at me today. ,你的销售员们非常粗鲁，他们今天对我大吼大叫！
Module3,panic,n.恐慌; 惊慌; 慌乱v.(使)恐慌; 使...惊慌失措,After she fell she reached for her shoes in a panic.,跌倒之后她慌张地捡起了鞋子。
Module3,informal,adj. 非正式的；不拘礼节的；通俗的,Our boss is much more informal after work.,我们的老板在下班后要随意多了。
Module3,live,v.居住；活adj.活的，直播的；现场的 ,We live together because we're a family.,因为我们是一家人，所以住在一起。
Module2,suburban,adj.郊外的，偏远的,Suburban life is more peaceful than city life.,郊外生活比城市生活更平静。
Module2,congestion,n.拥挤，充血,This area has really bad traffic congestion.,该区域严重交通拥挤。
Module2,fare,n.交通费，乘客，食物v.（事）进行得（好或坏）,The fare for this bus ride is $2.,这一程巴士收费2美元。
Module2,tricycle,n.三轮车，机器三轮车,I have a picture of me as a child riding a tricycle.,我有一张我小时候骑三轮车的照片。
Module2,provide,v.(with，for)提供，供给,The little boy provided some bread for the ducks. ,小男孩给鸭子们喂了一些面包。
Module2,air-conditioned,adj. 备有空调装置的v. 给…装上空调器；用空调器调节（air-condition的过去分词）,"The weather is very hot, so I'm glad our office is air-conditioned.",天气太热了，所以我很高兴办公室装有空调。
Module2,wire,n.金属线；电缆；电信,It's a bird sitting on a wire.,鸟站在电线上。 
Module2,solution,n.溶解状态，解决，解决办法,I think the other plan is the better solution.,我觉得另一个解决方法更好。
Module2,convenient,adj.方便的；便利的,"Instant noodles taste horrible, but at least they're convenient.",方便面太难吃了，但是至少它们很方便。
Module2,route,n.路径，轨道，途径,The freeway is the quickest route home.,高速公路是最快回家的路。
Module2,be/get stuck in,被困在……,Oh no. He's stuck in the chimney again!,哦不。他又卡在了烟囱里！
Module2,permit,"n. 执照;  vt. 允许, 许可;  ","Okay, I permit you to take the car out tonight.","好吧,我允许你今晚把车开出去。"
Module2,cab,n.出租车，司机室，驾驶室,Taking a cab to get there will be quicker.,打车过去会更快！
Module2,get around,四处走动（旅行）,I get around town in my pink car.,我开着我的粉色车在城里四处兜风。
Module2,be connected to,与…相连,People all over the world are connected to each other through the internet.,全世界的人们都通过互联网联系了起来。
Module2,pedal,n. 踏脚板;  vi. 踏踩板;  adj. 脚踏的;  vt. 踏…的踏板;  ,I pedal harder to make my bicycle go faster.,我更用力地蹬踏板，这样自行车就会跑得快点。
Module2,blow,,They like to blow bubbles.,他们喜欢吹泡泡。
Module2,switch off,关上（点灯、电视等）；断掉（电源）,Sir! Please switch off your phone. The plane is about to take off.,先生！请关闭您的手机。飞机即将起飞了。
Module2,receipt,n.收到；收条，收据,Check all your receipts when you do your taxes.,当你交税金时一定要检查收据。
Module2,display,,The computer is so expensive because it has a high resolution display.,这台电脑非常贵因为它拥有高分辨率显示。
Module2,single,,He's been single his entire life. He's never even had a girlfriend!,他这辈子一直是未婚，他甚至连女朋友都没有。
Module2,horn,n.（牛羊之）角；号角，喇叭,This goat's horns are very long and curly.,这只山羊的角又长又弯。
Module2,return,n.返回；来回票；回答adj.返回的；报答的；重现的v.归还；回报；回答,Return to where you came from.,从哪儿来回哪儿去。
Module2,roadwork,n.（常作复数）道路施工,All this roadwork is going to cause a lot of traffic problems.,这项道路施工会引发许多交通问题。
