Modules,words,mean_cn,sentence,sentence_tra
Module4,exhibition,n.展览，展览会，陈列,The art gallery had an exhibition of my photos.,这个艺术画廊有一个我的摄影作品展览。
Module4,stand,n. 讲台;  看台;  vi. 站立;  起立;  vt. 使站立;  忍耐;  抵御;  ,My dog can stand on two feet and she can even put on her own shoes!,我的狗能双脚站立，它甚至能自己穿鞋！
Module4,expression,n. 表达；表情，措辞,She has so many vivid facial expressions.,她有很多生动的面部表情。
Module4,destroy,v.破坏，消灭，毁灭,My computer was completely destroyed in the fire.,我的电脑被大火毁尽了。
Module4,unusual,adj.不平常的，少有的；与众不同的,She has an unusual way of eating. She doesn't use her hands. ,她吃饭的方式很不寻常——她从不用手！
Module4,observe,v.注意；观察；遵守,She observes the liquid very carefully.,她观察液体时十分仔细。
Module4,imitate,v. 模仿,The little girl imitates her mother when she exercises.,小女孩儿在她妈妈运动的时候模仿她。
Module4,aspect,n.外表，面貌；(问题等的)方面,"A marketing campaign has several different aspects such as price, promotion etc.",市场营销包括很多不同的方面，比如价格、促销等。
Module4,drawing,"n: 牵引, 抽签, 抽奖, 绘图, 图样, 提款;  ",That's a simple drawing of a big head man.,那是一张画有大头男人的简笔画。 
Module4,reality,n.现实，实际；真实,"Their actions were friendly, but in reality they hated each other.",表面上他们彼此很友好，但是实际上却相互仇恨。
Module4,like,prep.像，如；像要v.喜欢,Ten million people 'like' Baicizhan.com on Facebook.,在脸谱网上有一千万用户喜欢百词斩。
Module4,painter,n.漆工；画家,My friend is a well-known painter. His paintings can sell for hundreds of dollars!,我的朋友是个知名画家。他的作品可以卖到几百美元。
Module4,watercolor,n.水彩；水彩画,Watercolor painting is a fun way to pass the time.,
Module4,delightful,adj.令人愉快的，可喜的 ,The happy family had a delightful time at the picnic.,开心的一家子度过了一个愉快的野餐。
Module4,style,n. 风格，作风v. 称呼；设计,She has a very distinctive style; she doesn't dress like anybody else.,她的风格非常独特，她穿着打扮不像其他任何人。
Module4,artist,n.艺术家，画家,The artist is painting.,这个艺术家正在作画。
Module4,alive,adj.活着的；活跃的，有生气的；热闹的,"""I'm alive!"" said the monster.","""我还活着！""，这个怪物狞笑道。"
Module4,adopt,v.过继，收养，吸收，采纳,She adopted her son when he was very young.,她儿子是在他非常小的时候被她收养的。
Module4,aim,v. 瞄准；旨在n. 目标；对准,Aim a little above the target if you want to hit it.,如果你想击中靶子，在瞄准的时候往上一点。
Module4,scene,n.景色，景象，舞台，(戏)一场,The sunset over the road created quite a beautiful scene.,道路尽头的日落创造了一幅唯美的景象。
Module4,put off,推迟,"I was supposed to do my work on the third, but I put off working until the fourth.",我应该在三号做我的工作，但是我推迟到了四号。
Module4,landscape,n. 地貌，风景，风景画v. 美化环境,"The landscape is beautiful, with ice-capped mountains in the background and a river.",这里风景太美了，有白雪覆盖的群山映衬，还有一条小河。
Module4,take turns,轮流,Each player takes turns moving their pieces in chess.,下棋时每个棋手轮流挪动棋子。
Module4,portrait,n. 肖像;  标本;  ,This is a portrait of a powerful 17th century nobleman.,这是一幅17世纪很有权力的贵族男子的肖像。
Module4,painting,n.上油漆，着色；绘画；油画；画法,This is a very famous painting.,这是一幅非常有名的油画。
Module3,court,"n. 法院，庭院，球场；宫廷v. 献殷勤, 招致危险, 追求",Your murder trial will be in court room number one.,你的谋杀案审讯将在第一法院开庭。
Module3,classical,n. 古典音乐;  adj. 经典的;  古典的;  传统的;  ,I love classical music.,我热爱古典音乐。
Module3,lose,vi. (在竞争或比赛中)输掉;  vt. 失去; 丧失;  遗失;  浪费;  亏损;  ,It took a long time for the fat man to lose weight.,这个胖子用了很长时间来减肥。
Module3,composer,n.作曲家，设计者，著作者,The composer has difficulty writing this piece., 作曲家写好这个曲子有难度。
Module3,Austria,n.奥地利,We traveled to Austria to see the beautiful lakes and mountains.,我们旅行到了奥地利去看美丽的湖泊和群山。
Module3,musician,n.音乐家，作曲家,The musician plays beautiful music.,这位音乐家演奏美妙的音乐。
Module3,symphony,n. 交响乐，交响曲；谐音,I'd love to take you to see the symphony orchestra one night., 要是哪天晚上有机会，我很高兴带你去听演唱会。
Module3,Austrian,adj.奥地利的,Her face is painted like the Austrian flag.,她的脸被画得像奥地利国旗。
Module3,prince,n.王子，亲王,"I'm only a prince now, but when I'm a king, I'll show you who's boss!",我现在只是一个王子，等我当上国王，我就让你看看我的厉害！
Module3,lecturer,n.演讲者，讲师 ,The guest lecturer taught us a class about frogs.,客座讲师给我们上了一堂关于青蛙的课。
Module3,audience,"n. (演讲、音乐会等的)听众, 观众;  正式会见;  拥护者;  ",We invite students from drama schools to be our audiences.,我们请了戏剧学校的学生来我们节目当观众。
Module3,solo,n.独唱adj. 独奏的；单独的,"Man, this guitar solo has gone on for five minutes... will he ever stop?",天哪，这段吉他独奏已经持续了五分钟，他会停下来吗？
Module3,jazz,n. 爵士乐,Jazz music has become popular all over the world.,爵士乐在全球流行了。
Module3,mix,v. 混合，使结合,The recipe says to mix the ingredients. ,菜谱上说混合这些材料。
Module3,catchy,adj. 引人注意的；容易记住的；易使人上当的,I can't stop listening to this catchy song.,这首歌简直引人入胜，我一听就欲罢不能。
Module3,director,n.指导者，主任，导演,The movie's director works the actors to death.,这位电影导演让演员们工作累得要死。
Module3,be impressed with,留下深刻印象,Should we be impressed with his muscles?,我们该被他的肌肉打动吗？
Module3,talent,n. 才能；天赋,She has a lot of artistic talent - you should send her to art school.,她很有艺术天赋，你应该送她去艺术学校。
Module3,saxophone,n.[音] 萨克斯管(铜管类乐器),The jazz musician plays a soulful tune on his saxophone.,
Module3,complex,"n. 综合体, 集合体;  adj. 复合的;  复杂的, 难解的;  ",The complex relationship between them is hard to explain.,他们之间的复杂关系很难解释。
Module3,band,n. 乐队；帮伙；带v.用带捆扎；联合,The band's live performance drove the crowd wild.,乐队的现场演出让人们疯狂了。
Module3,compose,v.创作，组成,The man composes new songs on his keyboard.,这人在他的键盘上创作新歌。
Module3,orchestra,n. 管弦乐队;  ,I love it when the entire orchestra plays music together.,当整个管弦乐队一起演奏音乐的时候，我很享受这一刻。
Module3,peasant,n.农民 ,The peasants do not get enough respect from us.,农民们没有从我们这里得到足够的尊重。
Module3,choir,n.(教会的)歌唱队，唱诗班,A penguin choir sings Christmas songs.,一个企鹅唱诗班唱着圣诞歌。
Module3,lyrics,n. 抒情诗;  抒情诗人;  (民歌、流行音乐或音乐喜剧的)歌词;  adj. 抒情的;  热情洋溢的;  轻快悦耳的;  ,Anyone can sing karaoke because the lyrics are on the screen.,任何人都可以唱卡拉OK，因为屏幕上有歌词。
Module3,album,n.唱片集，相片册，集邮册,My photo album has many old photos.,我的相册里收藏了许多老照片。
Module3,record,n.档案v.记录，把（声音，图像）录下,The video camera will record our interview. ,这部摄影机会记录我们的访谈。
Module3,tune,n.曲调，旋律，协调，调动v.[电子][通信] 调谐；协调,"Sure, I'll play a little tune for you.",当然，我会为你弹奏一曲。
Module3,genius,n.天才；天资，天赋；才华,The kid is a genius; she can do high school math at age eight.,这个孩子是个天才，她八岁就能做高中数学题。
Module3,conductor,n. 售票员;  指挥;  导体;  ,This conductor wears a mustache to show the orchestra how artistic he is.,指挥为了向乐团展示他的艺术范儿（特意）留长了胡子。
Module3,musical,,The guitar is a musical instrument which is hard to learn.,吉他是一种难学的乐器。
Module3,ballad,n.歌谣；小曲,"I'll sing a ballad for you, baby. ",我要为你唱一首歌谣，宝贝儿。
Module3,tour,n.旅游，巡回演出v.旅游，做巡回演出,I'm taking a car tour of the countryside!,我在乡间开车巡游呢！
Module3,influence,,He has a lot of influence; everybody listens to him.,他有很大的影响力，所有人都听他的。
Module3,split up,分裂；分割,He tried really hard to convince her that they shouldn't split up.,他非常努力地试图说服她他们不该分开。
Module2,cigarette,n.香烟，纸烟，卷烟,Cigarettes are getting more expensive every year.,香烟的价格都一年比一年贵。
Module2,crime,n.罪行，犯罪,Those who commit crimes must be severely punished.,那些罪犯必须受到严惩。
Module2,horrible,adj.可怕的，恐怖的；讨厌的,Ugh - this food tastes horrible!,啊，这东西的味道太可怕了！
Module2,nearby,adj.附近的 adv.在附近 ,My bluetooth phone can exchange information with any similar phone that is nearby.,我的蓝牙手机可以跟附近任何相似的手机交换信息。
Module2,inject,vt. 给…注射;  注入;  引入;  射入轨道;  ,"""Does this hurt?"" the doctor asked as she injected her patient with antibiotics.",“痛吗？”医生一边给她的患者注射抗生素一边问。
Module2,cannabis,n.大麻,Smoking cannabis is against the law.,吸食大麻是违法的。
Module2,cocaine,n. 可卡因，古柯碱,"Doing cocaine is a very bad habit, and bad for your health.",吸食可卡因是非常坏的嗜好，对身体也有害。
Module2,ratio,n.比，比率,The ratio of costs to sales is too high--we're not making money!,我们成本和销售的比率太高，根本没赚钱。
Module2,danger,n.危险，危险事物,The man put his life in danger by walking on the rope.,这个男人走绳索时可能会有生命危险。
Module2,addict,v.使沉迷，使上瘾n.有瘾的人；入迷的人,A person who cannot stop smoking is an addict.,不能停止吸烟的人就是对烟上瘾。
Module2,powerful,adj.强有力的；有权威的,He was a powerful leader. ,他曾是一个强有力的领导。
Module2,belong to,属于 ,My teddy bear belongs to me! Hands off!,泰迪熊是我的，你放手！
Module2,needle,n.针；针状物v.用针穿刺；刺激,All you need to sew clothing is a needle and thread.,你缝衣服所需要的所有东西就是针和线。
Module2,cancer,n.癌；巨蟹座,Smoking can cause lung cancer. ,吸烟会导致肺癌。
Module2,burglary,n.盗窃，夜盗，盗窃行为 v.入室行窃,We need more security to prevent a burglary like this one.,我们要加强安保力量以防止这种盗贼。
Module2,criminal,,The criminal was given life imprisonment.,这个罪犯被判终身监禁。
Module2,related to,有关系的；有关联的,She and her little sister are related to each other by blood.,她和她的小妹是有血缘关系的。
Module2,likely,adj.有可能；可信的；适合的adv.很可能,"If you see dark clouds, it's likely that it will rain.",如果你看到乌云，可能会下雨。
Module2,gymnastic,"adj. 体操的, 体育的;  ",Young girls are good at gymnastic tricks like the splits.,年轻的女孩儿们擅长诸如劈叉等体操技巧。
Module2,break into,闯入，碰到，发现,The thief used a screwdriver to break into my car.,贼用了一把螺丝刀来撬开我的车门。
Module2,connection,"n. 连接;  连接物;  联系, 关系;  ",Each one of these wires is an Internet connection.,这些线缆中的每一条都是一个互联网连接。
Module2,become addicted to,对……上瘾；沉迷于,He may have become addicted to that video game.,他可能已经对那款视频游戏上瘾了。
Module2,participant,n.参加者，参与者,Before the race began all of the participants lined up at the starting line.,比赛开始前，所有的参赛者都在起跑线上排成一排。
Module2,treatment,n.对待；治疗，疗法,"After the skin treatment, my skin looks younger and healthier.",在皮肤保养之后，我的皮肤看起来年轻健康多了。
Module2,leaflet,n.散页的印刷品，传单,The leaflet is full of interesting information.,这个传单印的内容挺有意思。
Module2,tobacco,n.烟草，烟叶,If you keep smoking tobacco you will damage your body.,如果你继续抽烟你会毁了你的身体的。
Module2,addictive,adj.上瘾的,Smoking is addictive and hard to stop.,吸烟会上瘾，也很难戒掉。
Module2,adult,n. 成年人;  adj. 成年的;  成年人的;  色情的;  ,We're both adults now - kiss me!,我们都是成年人了，亲亲我！
Module2,ban,"vt. 禁止, 查禁, 取缔;  n.禁令;",The restaurant bans smoking indoors.,餐厅内禁止吸烟。
Module2,cafe,n.咖啡馆，餐馆,The man drinks coffee in a cafe.,这个男人在咖啡馆喝咖啡。
Module2,recognise,"v.识别,承认,认可,表彰","Man, your cool hat means that you are easily recognised in a crowd.",你这个行头太拉风啦，偶一眼就认出你啦~~
Module2,jogging,n.慢跑v.（jog的ing形式）慢跑；轻推；唤起；上下晃动,Jogging is great exercise.,慢跑是一种很好的运动。
Module2,illegal,adj.不合法的，非法的,Hacking is an illegal activity which must be punished.,黑客是不合法的活动，必须被惩罚。
Module2,distraction,n.分心，分神；分心的事物；消遣，娱乐,It is hard to work with all these distractions!,这么多分神的事务，让人太难工作了！
Module2,shoplifting,n.冒充顾客进商店行窃,"Taking things from stores is still shoplifting, even if the items are small.",即使东西很小，从店里顺走东西也是在店里行窃，
Module2,in order to,phr. 为了,I gave my teacher an apple in order to make her like me.,为了让老师喜欢我，我给了她一个苹果。
Module2,disagree,v.意见不同，不一致,We always disagree about what to eat for dinner. ,对于晚饭吃什么我们总是意见不合。
Module2,reduce,v.减少，减小，降低，精简,I have reduced my weight by a few kilos.,我已经减了几公斤体重。
Module2,drug,,This drug will lower your blood pressure.,这个药会降低你的血压。
Module2,affect,v.影响，感受，假装,Her break-up with her lover has badly affected her.,她与恋人的分手严重地影响了她。
Module2,so as to,以便，为的是,I only eat healthy food so as to keep my good figure.,我只吃健康的食物来保持好身材。
Module2,bronchitis,n.[内科] 支气管炎,I'm afraid your cough is due to bronchitis in your right lung.,我担心你的咳嗽是由于右肺的支气管炎。
Module1,begin with,以……开始,My day usually begins with a cup of coffee.,我的每一天通常是从一杯咖啡开始的。
Module1,be connected with,与...有关,"It's easy to be connected with people all over the world  with today's social networking.
",通过今天的社交关系网，很容易将世界各地的人们联系起来。
Module1,captain,n. 队长;  上校;  上尉;  列车长;  机长;  vt. 做…的首领;  领导;  ,That captain is so charming\uff01,那机长真迷人！
Module1,eye,n. 眼睛;  眼球;  眼圈;  眼神;  注意;  判断力;  眼状物;  视角;  vt. 向…送秋波;  注视;  考虑;  ,That's an interesting colored eye.,这是一个着色的有趣的眼睛。
Module1,fit,v.适合；安装adj.健康的；合适的n.合身；发作,"These guys are a perfect fit, I'm sure they are great friends!",这两人太搭了！它们肯定是好朋友！
Module1,throat,n.咽喉，嗓子,The man has a pain in his throat.,这个人喉咙疼。
Module1,X-ray,n.X射线,The doctor showed me an X-ray of my broken hip.,医生给我看了我骨折的盆骨的X光片。
Module1,put into,将……投入……,Carefully put every piece into place.,小心地把每一片放到合适的位置。
Module1,be crazy about,迷恋,He was totally crazy about her.,他完全为她着了迷。
Module1,have a temperature,发烧,I have a temperature so I can't go to school today.,我发烧了，所以我今天无法上学。
Module1,breathe,v.呼吸；吸入,I need to breathe pure air.,我需要呼吸纯净的空气。
Module1,diet,n. 饮食，病人或减肥者的)特种饮食v. 节食，规定饮食,I'm trying to eat a diet of only fruits and vegetables.,我在尝试吃只有蔬菜水果的节食餐。
Module1,prescription,n. 处方，药方，(医生开)的药；开处方，开药方,My doctor gave me a prescription for heart medication. ,我的医生给了我一个心脏病药物的处方。
Module1,rare,adj.罕见的；稀薄的；稀有的 ,Pandas are hard to find because they're so rare.,熊猫很难被找到，因为它们太稀有了。
Module1,head,n.头；上端；领导人v.率领；前进；出发adj. 头的；主要的；在顶端的,My head aches - maybe I think too much...,头好痛，也许是我用脑太多了。
Module1,anxious,adj.(about)忧虑的，担心的，焦急的；渴望的,I feel really anxious about the speech I have to give tomorrow. ,一想到我明天的演讲我就非常焦虑。
Module1,normal,adj. 正常的,I was glad when the doctor told me my heart beat  was normal. ,当医生告诉我心跳正常的时候，我很开心。
Module1,lie down,躺下,She likes to lie down in piles of leaves.,她喜欢躺在树叶堆上。
Module1,unhealthy,adj.不健康的，对健康有害的 ,I gave up smoking because it's unhealthy.,我戒烟了，因为吸烟有害健康。
Module1,toothache,n. 牙痛,"I've had a toothache for days, but I'm too afraid to go to the dentist.",我牙疼好几天了，但是我很害怕去找牙医。
Module1,fat,n.脂肪，肥肉 adj.肥胖的 ,"He used to be a young athlete, but now he's old and fat.",他曾经是个年轻的运动员，但是现在，又老又肥了。
Module1,questionnaire,"n. 调查表, 征求意见表;  ",Please fill out this questionnaire so we can improve our service.,请填写这份调查问卷，这样就能帮助我们改善服务。
Module1,pneumonia,n. 肺炎 ,Pneumonia leads to a reduction in breathing efficiency.,肺炎会降低呼吸效率。（肺炎会引起呼吸困难。）
Module1,pain,n.痛，痛苦；努力，劳苦,I am feeling some pain in my head.  ,我觉得头有点疼。
Module1,proverb,n.谚语,"Although proverbs are short, they contain much wisdom.",谚语虽短，但却蕴含许多智慧。
Module1,awful,adj. 可怕的；极度的；糟糕的,The picture of the screaming man is so awful to see!,这张画着一个尖叫男人的图看起来真可怕。
Module1,lung,n. 肺,We use our lungs to breathe.,我们用肺呼吸。
Module1,symptom,n. 征兆，症状,Sneezing is a common symptom of a cold. ,打喷嚏是感冒的常见症状。
Module1,injure,v.伤害，损害，损伤,Ronaldo was given first aid treatment after he injured his leg.,罗纳尔多在扭伤脚之后获得了第一时间的救助。
Module1,injury,n.损害，伤害；受伤处,The boss went to work despite his injury.,老板不顾伤痛也要去工作。
Module1,rarely,adv.很少，难得,Golden coffee beans are rarely found.,金色的咖啡豆很少被人发现。
Module1,overweight,n.超重,I don't enjoy seeing overweight men at the beach.,我讨厌在沙滩上看见超重的人。
Module1,wealthy,n. 富人;  adj. 富有的;  充分的;  ,Dreams are needless for the bastard in a wealthy family.  ,有钱人家的庶子是不需要有梦想的。
Module1,flu,n.流感,I'll have to stay home from work today--I have the flu.,我不得不请假在家，我得了流感。
Module1,lifestyle,adj. 迎合顾客生活品味的; n.生活方式; ,It's important for elderly people to live a healthy lifestyle. ,老年人应该保持健康的生活方式，这很重要。
Module1,painful,adj.痛苦的，疼痛的，费力的,My shoulder hurts - it's very painful.,我的肩膀受伤了，很痛。
Module1,insurance,n.保险，保险费，保险业,You should have insurance to pay for your medical care.,你应该有保险来支付你的医疗护理费用。
